time;month;temperature;wind;barometer;weather;label
15.5;11;0.6842105263157895;0.34;0.5625;2;2
16.0;11;0.6842105263157895;0.34;0.5625;2;2
16.5;11;0.631578947368421;0.3;0.5625;2;2
17.0;11;0.631578947368421;0.3;0.5625;2;2
17.5;11;0.5789473684210527;0.26;0.5625;2;2
18.0;11;0.5263157894736842;0.18;0.625;2;2
18.5;11;0.5263157894736842;0.22;0.625;2;2
19.0;11;0.5263157894736842;0.22;0.6875;2;2
19.5;11;0.5263157894736842;0.26;0.6875;2;2
20.0;11;0.5263157894736842;0.26;0.75;2;2
20.5;11;0.47368421052631576;0.18;0.75;2;2
21.0;11;0.47368421052631576;0.3;0.75;2;2
21.5;11;0.47368421052631576;0.26;0.75;2;2
22.0;11;0.47368421052631576;0.14;0.75;2;2
22.5;11;0.47368421052631576;0.22;0.75;2;2
23.0;11;0.42105263157894735;0.22;0.75;2;2
23.5;11;0.42105263157894735;0.18;0.75;2;2
0.0;11;0.42105263157894735;0.04;0.75;2;2
0.5;11;0.42105263157894735;0.14;0.6875;2;2
1.0;11;0.42105263157894735;0.22;0.6875;2;2
1.5;11;0.3684210526315789;0.12;0.6875;2;2
2.0;11;0.3684210526315789;0.08;0.6875;2;2
2.5;11;0.3684210526315789;0.08;0.6875;2;2
3.0;11;0.3684210526315789;0.12;0.6875;2;2
3.5;11;0.3684210526315789;0.12;0.6875;2;2
4.0;11;0.3157894736842105;0.12;0.6875;2;2
4.5;11;0.3157894736842105;0.04;0.6875;2;2
5.0;11;0.3684210526315789;0.08;0.6875;2;2
5.5;11;0.3684210526315789;0.0;0.6875;2;2
6.0;11;0.3684210526315789;0.04;0.6875;2;2
6.5;11;0.3684210526315789;0.14;0.75;2;2
7.0;11;0.3684210526315789;0.14;0.75;2;2
7.5;11;0.42105263157894735;0.14;0.75;2;2
8.0;11;0.47368421052631576;0.14;0.8125;2;2
8.5;11;0.47368421052631576;0.08;0.8125;2;3
9.0;11;0.47368421052631576;0.18;0.8125;3;3
9.5;11;0.5789473684210527;0.12;0.8125;3;3
10.0;11;0.5789473684210527;0.12;0.8125;3;3
10.5;11;0.631578947368421;0.04;0.75;3;3
11.0;11;0.631578947368421;0.12;0.75;3;3
11.5;11;0.631578947368421;0.14;0.6875;3;3
12.0;11;0.631578947368421;0.12;0.6875;3;2
12.5;11;0.6842105263157895;0.12;0.625;2;3
13.0;11;0.6842105263157895;0.18;0.625;3;3
13.5;11;0.631578947368421;0.12;0.625;3;1
14.0;11;0.7368421052631579;0.12;0.5625;1;3
14.5;11;0.5263157894736842;0.22;0.5625;3;1
15.0;11;0.47368421052631576;0.08;0.5625;1;1
15.5;11;0.47368421052631576;0.22;0.5625;1;3
16.0;11;0.5263157894736842;0.12;0.5625;3;2
16.5;11;0.5263157894736842;0.12;0.5625;2;1
17.0;11;0.47368421052631576;0.22;0.5625;1;2
17.5;11;0.42105263157894735;0.18;0.5625;2;2
18.0;11;0.42105263157894735;0.14;0.625;2;2
18.5;11;0.42105263157894735;0.12;0.625;2;2
19.0;11;0.42105263157894735;0.04;0.6875;2;2
19.5;11;0.47368421052631576;0.12;0.6875;2;2
20.0;11;0.42105263157894735;0.04;0.75;2;2
20.5;11;0.42105263157894735;0.04;0.75;2;2
21.0;11;0.47368421052631576;0.08;0.75;2;2
21.5;11;0.47368421052631576;0.04;0.75;2;2
22.0;11;0.47368421052631576;0.12;0.75;2;2
22.5;11;0.47368421052631576;0.14;0.75;2;2
23.0;11;0.47368421052631576;0.18;0.75;2;2
23.5;11;0.47368421052631576;0.12;0.75;2;2
0.0;11;0.47368421052631576;0.18;0.75;2;2
0.5;11;0.47368421052631576;0.12;0.6875;2;2
1.0;11;0.47368421052631576;0.12;0.6875;2;2
1.5;11;0.42105263157894735;0.04;0.75;2;2
2.0;11;0.3684210526315789;0.08;0.6875;2;2
2.5;11;0.3684210526315789;0.04;0.6875;2;2
3.0;11;0.3684210526315789;0.0;0.6875;2;2
3.5;11;0.42105263157894735;0.08;0.6875;2;2
4.5;11;0.3684210526315789;0.0;0.6875;2;1
5.0;11;0.3684210526315789;0.0;0.75;1;2
5.5;11;0.42105263157894735;0.04;0.75;2;2
6.0;11;0.42105263157894735;0.04;0.75;2;2
6.5;11;0.3684210526315789;0.04;0.75;2;2
7.0;11;0.47368421052631576;0.04;0.8125;2;2
7.5;11;0.5263157894736842;0.04;0.8125;2;2
8.0;11;0.5263157894736842;0.0;0.8125;2;3
8.5;11;0.5263157894736842;0.08;0.875;3;3
9.0;11;0.5789473684210527;0.12;0.875;3;2
